0,1,2,3
6 gorillion,English,1 sighting,Highly offensive
abbo  (variant of abo),English,-,Extremely offensive
abbos  (plural of abbo),English,109 sightings (Recent),Extremely offensive
ABC,English,1 sighting,Mildly offensive
ABCD,English,-,Mildly offensive
ABCDs  (plural of ABCD),English,-,Mildly offensive
ABCs  (plural of ABC),English,2 sightings,Mildly offensive
abo,English,-,Highly offensive
abos  (plural of abo),English,82 sightings (Recent),Highly offensive
af,English,-,Extremely offensive
African catfish,English,72 sightings (Recent),Extremely offensive
African catfishes  (plural of African catfish),English,16 sightings (Recent),-
african't,English,-,Highly offensive
african'ts  (plural of african't),English,-,Highly offensive
Africoon,English,194 sightings (Recent),Extremely offensive
Africoons  (plural of Africoon),English,792 sightings (Recent),Extremely offensive
Afro-Saxon,English,110 sightings (Recent),Mildly offensive
Afro-Saxons  (plural of Afro-Saxon),English,276 sightings (Recent),Mildly offensive
afs  (plural of af),English,-,Extremely offensive
Ahab,English,-,Highly offensive
Ahabs  (plural of Ahab),English,-,Highly offensive
albino,English,1 sighting,Mildly offensive
albinos  (plural of albino),English,-,-
albo,English,-,-
alboes  (variant of albos)  (plural of albo),English,-,-
albos  (plural of albo),English,-,-
alligator bait,English,751 sightings (Recent),Highly offensive
Americoon,English,54 sightings (Recent),Extremely offensive
Americoons  (plural of Americoon),English,242 sightings (Recent),-
AmeriKKKan,English,312 sightings (Recent),Mildly offensive
Amo,English,15 sightings (Recent),Mildly offensive
Amos  (plural of Amo),English,-,Moderately offensive
anchor babies  (plural of anchor baby),English,"2,726 sightings (Recent)",Moderately offensive
anchor baby,English,"1,586 sightings (Recent)",Highly offensive
Angie,English,-,Mildly offensive
Angies  (plural of Angie),English,-,-
Anglo,English,-,Mildly offensive
Anglo Fool,English,-,Moderately offensive
Anglos  (plural of Anglo),English,493 sightings (Recent),-
Ann,English,-,Mildly offensive
Annies  (plural of Ann),English,-,Mildly offensive
Anns  (plural of Ann),English,-,Moderately offensive
ape,English,1 sighting,Extremely offensive
apes  (plural of ape),English,-,Extremely offensive
apple,English,-,Highly offensive
apples  (plural of apple),English,-,-
Argie,English,317 sightings (Recent),Mildly offensive
Argies  (plural of Argie),English,496 sightings (Recent),-
Armo,English,8 sightings,Moderately offensive
Armos  (plural of Armo),English,247 sightings (Recent),-
ars  (transliteration of ערס‎ `ars),English,-,Moderately offensive
arsim  (plural of ars),English,102 sightings (Recent),-
arsit  (variant of ars),English,16 sightings (Recent),-
Aunt Jane  (variant of Aunt Jemima),English,-,Mildly offensive
Aunt Janes  (plural of Aunt Jane),English,17 sightings,Mildly offensive
Aunt Jemima,English,1 sighting,Mildly offensive
Aunt Jemimas  (plural of Aunt Jemima),English,305 sightings (Recent),Moderately offensive
Aunt Mary  (variant of Aunt Jemima),English,-,Moderately offensive
Aunt Marys  (plural of Aunt Mary),English,20 sightings (Recent),Moderately offensive
Aunt Sally  (variant of Aunt Jemima),English,-,-
Aunt Sallys  (plural of Aunt Sally),English,26 sightings (Recent),-
azn,English,-,Mildly offensive
azns  (plural of azn),English,412 sightings (Recent),-
bamboo coon,English,11 sightings,Extremely offensive
bamboo coons  (plural of bamboo coon),English,1 sighting,-
ban and can  (variant of bans and cans),English,-,-
banana,English,-,Highly offensive
banana bender,English,443 sightings (Recent),Mildly offensive
banana benders  (plural of banana bender),English,492 sightings (Recent),Mildly offensive
banana lander  (variant of banana bender),English,1 sighting,Mildly offensive
banana landers  (plural of banana lander),English,-,-
bananas  (plural of banana),English,-,-
banislam,English,-,-
banjo lips,English,30 sightings,Extremely offensive
bans and cans,English,1 sighting,Moderately offensive
batiman  (variant of batty boy),English,140 sightings (Recent),-
batimen  (plural of batiman),English,9 sightings,-
batty boy,English,"1,210 sightings (Recent)",-
batty boys  (plural of batty boy),English,770 sightings (Recent),-
