"Episode ID","Show Name","Full Date","Title","Description","Partisan Leaning","Category on Apple","Entered Dataset","Audio URL"
"4374","Bill O'Reilly's No Spin News and Analysis","2019-06-28","the o'reilly update, june 28, 2019","bill takes on political bias in social media following project veritas' explosive undercover investigation of google. plus, bill's message of the day on the dismal state of our neighbor to the south--mexico. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV6636655653.mp3"
"4375","Bill O'Reilly's No Spin News and Analysis","2019-06-27","review of last night's democratic debate & a preview of tonight's","-  no spin analysis of the first democratic debate—who was the winner and who was the loser of the night? -  previewing tonight’s debate—will it be more of the same? be on the lookout for bill’s live tweeting of the event.  learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV2581241784.mp3"
"4376","Bill O'Reilly's No Spin News and Analysis","2019-06-27","the o'reilly update, june 27, 2019","democrats take the debate stage in miami, far-left lawmakers want american taxpayers to pay-off their student debt, san francisco becomes the first city in the usa to ban e-cigarettes, the un says more people than previously thought are abusing opioids and cocaine, and clint eastwood defying hollywood’s abortion boycott against the state of georgia. plus, the message of the day: bill picks winners and losers in last night's debate. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV1796584720.mp3"
"4377","Bill O'Reilly's No Spin News and Analysis","2019-06-26","preview of tonight's democratic debate; plus, dennis miller opines on the election","-senator elizabeth warren is the headliner of tonight's debate- will she thrive? - dennis miller makes an appearance on the no spin news—how he sees tonight’s debates playing out. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV9792875856.mp3"
"4378","Bill O'Reilly's No Spin News and Analysis","2019-06-26","the o'reilly update, june 26, 2019","mexico deploys thousands of troops to the us border, illinois becomes the latest state to legalize recreational marijuana, special counsel robert mueller set to testify before congress in july, elizabeth warren comes out in favor of ‘gay reparations’, and a new survey reveals the least patriotic states across the usa. plus, bill's message of the day on what questions should be asked of democratic candidates during this week's debates. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV8083966571.mp3"
"4379","Bill O'Reilly's No Spin News and Analysis","2019-06-25","previewing the first democratic debates; nancy pelosi has no problem with illegal immigrants in america","- democratic debates begin tomorrow morning. will the democratic party lean far left or get back to the somewhat moderate approach that brought barack obama success? - should immigrants with expired status be able to stay in the u.s.? speaker of the house nancy pelosi thinks so. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV9443102276.mp3"
"4380","Bill O'Reilly's No Spin News and Analysis","2019-06-25","the o'reilly update, june 25, 2019","president trump releases new details on his middle east peace plan, far-left democratic presidential candidates push for free college with zero debt, chicago officials under fire after a new study shows wealthy residents living decades longer than the poor, and oregon considers a new plan to sell marijuana to other states after growers produce too much pot. plus! bill's message of the day on this week’s democratic debate. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV6859520815.mp3"
"4381","Bill O'Reilly's No Spin News and Analysis","2019-06-24","trump issues economic sanctions on iran; immigration raids delayed","- while president trump didn't choose to strike iran with military force, he did chose to hit them where it hurts: their wallet. - president trump puts a two week delay on immigration raids—how the left is distorting the raids. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV8317787214.mp3"
"4382","Bill O'Reilly's No Spin News and Analysis","2019-06-24","the o'reilly update, june 24, 2019","the united states strikes back against iran’s computer system, the president announces a two-week delay on immigration raids across major american cities, two holocaust survivors offer first-hand experience of ‘concentration camps’ to alexandria ocasio-cortez, another american is confirmed dead in the dominican republic, the nba deciding to abandon the term ‘owner’ for a more racially sensitive title. plus, bill's message of the day on the constitutionality of slavery reparations. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV4141297909.mp3"
"4383","Bill O'Reilly's No Spin News and Analysis","2019-06-21","the o'reilly update, june 21, 2019","on today's o'reilly update, president trump touts his economic achievements on the campaign trail. plus, bill's message of the day: the political evolution of joe biden. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV7102204136.mp3"
