Episode ID,Show Name,Full Date,Title,Description,Partisan Leaning,Category on Apple,Entered Dataset,Audio URL
5171,Bret Weinstein | DarkHorse Podcast,09-01-2021,#62: tyranny comes at you fast (bret weinstein & heather heying darkhorse livestream),"in this 62nd in a series of live discussions with bret weinstein and heather heying (both phds in biology), we discuss the state of the world through an evolutionary lens. in this episode, we discuss the value of gratitude, always but especially now. we pivot to the lab leak hypothesis, and what its discussion in the mainstream media means for the ability of society at large to consider what might be true regarding the origins of sars-cov2. we discuss what happened in the capitol on january 6, and and the ensuing censorship and purges by the big tech platforms. we see the boot coming down hard and fast, with calls from u.s. representatives to refocus our concern on events and enemies within our own borders. finally, a reading from thich nhat hanh’s 2012 book, fear: essential wisdom for getting through the storm. darkhorse merchandise now available at: store.darkhorsepodcast.org find more from us on bret’s website (https://bretweinstein.net) or heather’s website (http://heatherheying.com). become a member of the darkhorse livestreams, and get access to an additional q&amp;a livestream every month. join at heather&apos;s patreon. like this content? subscribe to the channel, like this video, follow us on twitter (@bretweinstein, @heathereheying), and consider helping us out by contributing to either of our patreons or bret’s paypal. looking for clips from #darkhorselivestreams? here are some, updated frequently: @darkhorse podcast clips theme music: thank you to martin molin of wintergatan for providing us the rights to use their excellent music. q&amp;a link: https://youtu.be/cs3w9zogvmw mentioned in this episode: baker 2020. the lab leak hypothesis. published in new york magazine: https://nymag.com/intelligencer/article/coronavirus-lab-escape-theory.html klotz &amp; sylvester 2012. the unacceptable risks of a man-made pandemic. published in the bulletin of atomic scientists: https://thebulletin.org/2012/08/the-unacceptable-risks-of-a-man-made-pandemic/ op-ed by aaron zubia in the wall street journal, the founders’ guide to ‘knock down, drag out’ fighting: https://www.wsj.com/articles/the-founders-guide-to-knock-down-drag-out-fighting 11610133634?st=xwxxiioo6trfkag&amp;reflink=article_email_share johnstone 2020. the boot is coming down hard and fast. published in medium: https://caityjohnstone.medium.com/the-boot-is-coming-down-hard-and-fast-5e05befc156a support the show",More Conservative,Science,Apple Top 100,https://pdcn.co/e/www.buzzsprout.com/424075/7212736-62-tyranny-comes-at-you-fast-bret-weinstein-heather-heying-darkhorse-livestream.mp3
5172,Bret Weinstein | DarkHorse Podcast,09-01-2021,"darkhorse podcast with jeremy lee quinn & bret weinstein: the capitol insurrection, a view from inside","jeremy lee quinn is an independent investigative photo journalist who was at the capitol during the breach on january 6, 2021, he discusses with bret what he learned during the event. find jeremy on the public report: https://www.publicreport.org/ find jeremy on twitter: @jleequinn theme music: thank you to martin molin of wintergatan for providing us the rights to use their excellent music. support the show",More Conservative,Science,Apple Top 100,https://pdcn.co/e/www.buzzsprout.com/424075/7212715-darkhorse-podcast-with-jeremy-lee-quinn-bret-weinstein-the-capitol-insurrection-a-view-from-inside.mp3
6588,Conservative Review with Daniel Horowitz,08-01-2021,ep 789 | will there be light at the end of these very dark times?,"today, i explain the difference between an autocratic government and a sadistic one. once we understand that point, there are some very troubling realities ahead for those who want to live safely and peacefully with their god-given liberties. the good news is that there are now tens of millions of people who are on to the sadistic scam of the western elites. they can’t crush so many people for much longer.   learn more about your ad choices. visit megaphone.fm/adchoices",More Conservative,News,Apple Recommendation,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC7956074378.mp3
6589,Conservative Review with Daniel Horowitz,07-01-2021,ep 788 | the perspective on wednesday’s chaos phony conservatives won’t tell you,we are sick and tired of having our lives criminalized. the very phony conservatives who paint us all as terrorists are the ones who have gotten us to this juncture.  --- today's sponsor  get your defense training and meet fellow patriots with constitution coach at www.constitutioncoach.com for 90% off the typical front-site defense training. learn more about your ad choices. visit megaphone.fm/adchoices,More Conservative,News,Apple Recommendation,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC3212884349.mp3
6590,Conservative Review with Daniel Horowitz,06-01-2021,ep 787 | dems winning tenuous control gives conservatives unique opportunity at the state level,"while everyone is all gloomy today, i will show you how there are many ancillary benefits to the election results. democrats are caught between a rock and a hard place with tenuous control, and conservatives have the potential to control many state governments and build a bulwark against biden and the left. however, we can’t repeat the mistakes of the tea party and let the same phony republicans hijack our movement.  --- today's sponsors  get your defense training and meet fellow patriots with constitution coach at www.constitutioncoach.com for 90% off the typical front-site defense training.  protect yourself online with express vpn, just visit www.expressvpn.com/conservative to get three extra months free. learn more about your ad choices. visit megaphone.fm/adchoices",More Conservative,News,Apple Recommendation,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC1964781912.mp3
6591,Conservative Review with Daniel Horowitz,05-01-2021,ep 786 | how to crush lockdown tyranny in red states,"today, i offer my 2021 blueprint to win back red states with pro-liberty candidates and local organizing. also, you will learn how we are being lied to about covid hospital bed space and how natural immunity is actually better than a vaccine.  --- today's sponsors  get your defense training and meet fellow patriots with constitution coach at www.constitutioncoach.com for 90% off the typical front-site defense training.   gabi insurance: see how much gabi can save you on car or home insurance at www.gabi.com/daniel    learn more about your ad choices. visit megaphone.fm/adchoices",More Conservative,News,Apple Recommendation,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC8360289633.mp3
9810,Hold These Truths with Dan Crenshaw,09-01-2021,"the truth about january 6th, with trey gowdy, rep. chip roy, and ut law's steve vladeck","for this special episode, we cover everything you need to know about what happened on january 6th. trey gowdy, congressman chip roy, and ut law professor steve vladeck join dan to explain what the vote was (and wasn't) really about, the lies you were told, and the constitutional arguments we heard from both sides. trey gowdy is a former state and federal prosecutor, as well as the former u.s. representative for south carolina's 4th congressional district. follow trey on twitter at @tgowdysc. rep. chip roy is the congressman for texas' 21st congressional district, a former prosecutor for the united states attorney for the eastern district of texas, and former chief of staff for senator ted cruz. follow chip on twitter at @chiproytx. steve vladeck holds the charles alan wright chair in federal courts at the university of texas school of law and is a nationally recognized expert on the federal courts, constitutional law, national security law, and military justice. professor vladeck has argued multiple cases before the u.s. supreme court, the texas supreme court, and lower federal civilian and military courts. follow steve on twitter at @steve_vladeck.",More Conservative,News,Apple Recommendation,https://traffic.libsyn.com/secure/holdthesetruthswithdancrenshaw/120_The_Truth_About_January_6.mp3?dest-id=1849868
16262,Mark Levin Podcast,09-01-2021,mark levin audio rewind - 1/8/21,"on friday's mark levin show, free speech is under attack. twitter has suspended president trump's account indefinitely and apple is threatening to suspend parler from its app store. parler investor dan bongino joins the show to explain how today's digital town square is under siege. publishers like the new york times are liable for what they publish. platforms like twitter and parler are currently exempt from liability due to section 230. the left favors monopolies and hates competition. so in response to the fascistic policies at twitter, mark levin has voluntarily suspended its twitter account. then, in one of nancy pelosi's last political breaths, she and the democrats are now insisting on impeaching trump for a second time falsely claiming that he has called an insurrection on capitol hill. yet, pelosi incited an insurrection calling federal police ""storm troopers"" and assaulted our constitution by allowing the attack on federal courts. kamala harris called for continued riots this summer, should she be impeached too? marxist progressivism is incompatible with constitutionalism. marxists reject the principles of god-given rights, private property, and the founding of our country. tens of millions of americans support our country, the constitution, and president trump who won the white house in 2016, fair and square. their goal is to silence all dissent and weaken our liberties like free speech and self-protection. constitutionalists reject violence, and the neo-marxists welcome the overturning of america's constitutional system. later, jason whitlock, founder of the sports and culture website outkick, agrees that trump was part of the reason for wednesday's chaos, but that it wasn't solely trump. whitlock added that trump supporters have been ostracized and that big tech and others are drunk on the power they have. learn more about your ad choices. visit podcastchoices.com/adchoices",More Conservative,News,Apple Top 100,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chtbl.com/track/8G441/traffic.megaphone.fm/WWO3948864962.mp3
16263,Mark Levin Podcast,08-01-2021,mark levin audio rewind - 1/7/21,"on thursday's mark levin show, nothing has changed in the last 24 hours following the capitol building siege, yet democrats and republicans alike are turning on president trump. some going as far as calling for the removal of the president in his last 13 days in office by way of the 25th amendment, as well as threats of another impeachment. plus, cabinet secretary elaine chao has announced her resignation just eight days shy of the administration's end.  the media is falsely claiming that trump incited an insurrection. these vile remarks by the media are cancerous to our republic. one publisher has gone as far as canceling the book deal of one republican senator for his support of the constitution at yesterday's electoral vote count and certification.  later, the double standard of the democrats and rino’s for only calling out violence when they don’t agree is appalling. the fact is president trump did not make any calls for violence, period. afterward, ben domenech of the federalist calls in to discuss the consequences of the capitol assault. learn more about your ad choices. visit podcastchoices.com/adchoices",More Conservative,News,Apple Top 100,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chtbl.com/track/8G441/traffic.megaphone.fm/WWO2902854704.mp3
16264,Mark Levin Podcast,07-01-2021,mark levin audio rewind - 1/6/21,"on wednesday's mark levin show, anarchy is not to be accepted and those that broke into the capitol building are lucky they were not all shot upon breaking the doors and rushing into the building. this violence must be denounced not excused. storming the capital building was stupid and accomplished nothing. all this does is give the left and the media fodder for their attack on president trump and conservatives. meanwhile, the hundreds of thousands of people that assembled did not storm the capital but peacefully assembled. all summer long antifa was criticized by conservatives for their attacks on federal buildings and anyone breaching the capitol must be equally criticized. there is no defense for people that take it amongst themselves to break the law and break into congress. then, the media is desperately trying to tie the president to this violence. the mob that breached the capitol building does not represent all of the supporters that peaceably assembled in support of trump. challenging the electoral count is worthy of the time it takes on the floor of congress to deliberate. later, the senators fulfilling their duty by objecting to the electoral college vote count are not to blame for the actions of an unscrupulous few. ideas have consequences but arguments based on principles are important. the pennsylvania state legislature has requested that congress stop counting their electors' votes because of new information obtained and their inability to convene because they are statutorily out of session.   learn more about your ad choices. visit podcastchoices.com/adchoices",More Conservative,News,Apple Top 100,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/chtbl.com/track/8G441/traffic.megaphone.fm/WWO7915342761.mp3
